Country,Capital,Latitude,Longitude
Micronesia (Federated States of),Palikir,6.916666666666667,158.15
"Moldova, Republic of",Chisinau,47.03333333333333,28.833333333333332
Mozambique,Maputo,-25.966666666666665,32.53333333333333
Myanmar,Yangon,16.75,96.33333333333333
Namibia,Windhoek,-22.583333333333332,17.066666666666666
Nepal,Kathmandu,27.75,85.33333333333333
Netherlands,Amsterdam/The Hague (seat of Gvnt),52.38333333333333,4.9
Netherlands Antilles,Willemstad,12.083333333333334,-69.0
New Caledonia,Noumea,-22.283333333333335,166.5
New Zealand,Wellington,-41.31666666666667,174.76666666666668
Nicaragua,Managua,12.1,-86.33333333333333
Niger,Niamey,13.45,2.1
Nigeria,Abuja,9.083333333333334,7.533333333333333
Norfolk Island,Kingston,-45.333333333333336,168.71666666666667
Northern Mariana Islands,Saipan,15.2,145.75
Norway,Oslo,59.916666666666664,10.75
Oman,Masqat,23.616666666666667,58.6
Pakistan,Islamabad,33.666666666666664,73.16666666666667
Palau,Koror,7.333333333333333,134.46666666666667
Panama,Panama,9.0,-79.41666666666667
Papua New Guinea,Port Moresby,-9.4,147.13333333333333
Paraguay,Asuncion,-25.166666666666668,-57.5
Peru,Lima,-12.0,-77.0
Philippines,Manila,14.666666666666666,121.05
Poland,Warsaw,52.21666666666667,21.0
Portugal,Lisbon,38.7,-9.166666666666666
Puerto Rico,San Juan,18.466666666666665,-66.11666666666666
Qatar,Doha,25.25,51.583333333333336
Republic of Korea,Seoul,37.516666666666666,126.96666666666667
Romania,Bucuresti,44.45,26.166666666666668
Russian Federation,Moskva,55.75,37.583333333333336
Rawanda,Kigali,-1.9833333333333334,30.066666666666666
Saint Kitts and Nevis,Basseterre,17.283333333333335,-62.71666666666667
Saint Lucia,Castries,14.033333333333333,-60.96666666666667
Saint Pierre and Miquelon,Saint-Pierre,46.766666666666666,-56.2
Saint vincent and the Grenadines,Kingstown,13.166666666666666,-61.166666666666664
Samoa,Apia,-13.833333333333334,-171.83333333333334
San Marino,San Marino,43.916666666666664,12.5
Sao Tome and Principe,Sao Tome,0.16666666666666666,6.65
Saudi Arabia,Riyadh,24.683333333333334,46.7
Senegal,Dakar,14.566666666666666,-17.483333333333334
Sierra Leone,Freetown,8.5,-13.283333333333333
Slovakia,Bratislava,48.166666666666664,17.116666666666667
Slovenia,Ljubljana,46.06666666666667,14.55
Solomon Islands,Honiara,-9.45,159.95
Somalia,Mogadishu,2.033333333333333,45.416666666666664
South Africa,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),-25.733333333333334,28.2
Spain,Madrid,40.416666666666664,-3.75
Sudan,Khartoum,15.516666666666667,32.583333333333336
Suriname,Paramaribo,5.833333333333333,-55.166666666666664
Swaziland,Mbabane (Adm.),-26.3,31.1
Sweden,Stockholm,59.333333333333336,18.05
Switzerland,Bern,46.95,7.466666666666667
Syrian Arab Republic,Damascus,33.5,36.3
Tajikistan,Dushanbe,38.55,68.8
Thailand,Bangkok,13.75,100.58333333333333
The Former Yugoslav Republic of Macedonia,Skopje,42.016666666666666,21.433333333333334
Togo,Lome,6.15,1.3333333333333333
Tonga,Nuku'alofa,-21.166666666666668,-174.0
Tunisia,Tunis,36.833333333333336,10.183333333333334
Turkey,Ankara,39.95,32.9
Turkmenistan,Ashgabat,38.0,57.833333333333336
Tuvalu,Funafuti,-8.516666666666667,179.21666666666667
Uganda,Kampala,0.3333333333333333,32.5
Ukraine,Kiev (Rus),50.5,30.466666666666665
United Arab Emirates,Abu Dhabi,24.466666666666665,54.36666666666667
United Kingdom of Great Britain and Northern Ireland,London,51.6,-0.08333333333333333
United Republic of Tanzania,Dodoma,-6.133333333333334,35.75
United States of America,Washington DC,40.516666666666666,-77.03333333333333
United States of Virgin Islands,Charlotte Amalie,18.35,-64.93333333333334
Uruguay,Montevideo,-34.833333333333336,-56.18333333333333
Uzbekistan,Tashkent,41.333333333333336,69.16666666666667
Vanuatu,Port-Vila,-17.75,168.3
Venezuela,Caracas,10.5,-66.91666666666667
Viet Nam,Hanoi,21.083333333333332,105.91666666666667
Yugoslavia,Belgrade,44.833333333333336,20.616666666666667
Zambia,Lusaka,-15.466666666666667,28.266666666666666
Zimbabwe,Harare,-17.716666666666665,31.033333333333335
